

0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.394 (+/-0.340) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.426 (+/-0.139) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.306 (+/-0.079) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.273 (+/-0.144) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.394 (+/-0.426) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.389 (+/-0.157) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.463 (+/-0.189) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.532 (+/-0.352) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.468 (+/-0.240) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.509 (+/-0.352) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.431 (+/-0.275) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.546 (+/-0.288) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.356 (+/-0.525) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.310 (+/-0.463) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.306 (+/-0.079) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.306 (+/-0.079) for {'epochs': 9, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 5}

Best score: 0.6620370370370371 with params: {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
